species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Solanum pennellii,8.717142281,26.18800723,6.855368363,14.80473359,24.51776846,24.63039434,16.49374806,413.5967585,22.46223838,13.13870475,30.3686687,23.86992595,28.29657825,44.24286743,35.70077693,119.0672337,146.8420856,70.75729651,16.06446174,40.19973105,57.18035407,103.9105311,98.4969351,137.0129572,138.4874464,196.0991128,33.55884016,28.25343496,39.94976979,23.17757743,13.35994931,91.32246149,4.219742689,12.05896707,16.35464732,20.49306418
Amphipoea oculea,0,0,0,2.467455598,4.086294743,1.448846726,0,0,0,0,0,0,5.957174369,28.0204827,12.41766154,19.00009048,21.59442435,11.55221168,163.5654286,21.5355702,138.4366467,245.4698052,129.0171122,508.3180712,556.9934657,171.7767422,61.01607301,8.476030487,3.994976979,7.725859143,4.007984794,10.28985482,0,0,0,0
Diachrysia chrysitis,13.07571342,38.59285276,27.42147345,24.67455598,28.6040632,34.77232142,32.98749612,34.09973275,47.73225656,46.71539468,102.6750227,123.3279507,44.67880777,32.44476945,74.50596923,264.7345941,129.5665461,33.21260857,33.58932909,43.07114041,31.59966935,45.17849176,41.61842328,41.10388716,24.34944112,34.96340771,24.4064292,29.66610671,63.91963166,139.0654646,33.39987328,27.01086889,105.4935672,64.31449105,85.86189845,125.8859657
Limnephilus lunatus,114.7757067,71.67244083,41.13221018,86.36094593,44.94924217,10.14192708,73.47215044,65.99948274,37.90502726,7.299280418,60.7373374,86.19695481,64.03962447,60.46525215,97.78908462,82.33372543,70.5417862,59.20508484,52.57460205,28.7140936,70.7230695,51.20229067,29.1328963,41.10388716,225.2323304,50.16488933,56.43986753,72.04625914,69.24626763,61.80687314,62.79176177,28.29710074,11.25264717,24.11793414,21.80619643,32.20338657
Phragmatobia fuliginosa,29.05714094,16.53979404,35.64791549,51.81656756,62.65651939,43.46540178,38.98522268,26.3997931,25.27001818,128.4673354,46.27606659,74.26199184,22.33940388,41.29334293,111.7589539,258.4012306,194.3498191,28.88052919,147.5009669,12.92134212,66.20883103,82.8272349,31.90745785,130.1623093,241.9725712,48.64474117,22.88102738,11.30137398,26.63317986,10.30114552,17.36793411,18.00724593,0,6.699426151,2.725774554,0
Andrena haemorrhoa,0,0,0,0,0,0,1.499431642,67.09947412,0,64.23366768,24.58416038,0,0,0,0,12.66672699,30.23219409,27.43650273,0,0,6.018984639,36.14279341,102.6587774,1.370129572,15.2184007,722.0703767,842.0218075,0,0,0,144.2874526,0,0,0,16.35464732,0
Chaetura pelagica,0,0,0,0,0,0,29.98863283,314.5975344,8.423339392,13.13870475,31.81479578,23.86992595,17.87152311,78.16239912,121.0722,106.4005067,116.6098915,51.98495254,56.95581888,15.79275148,472.4902941,158.1247212,187.2829048,87.68829261,9.131040421,112.490964,57.96526936,5.650686992,0,0,13.35994931,0,0,0,0,0
Plebejus argus,0,0,0,0,0,0,29.98863283,1032.891905,11.23111919,7.299280418,0,0,71.48609243,35.39429394,412.8872462,0,4.318884869,0,46.7329796,0,21.06644624,43.67254204,31.90745785,71.24673775,45.65520211,83.60814888,30.50803651,0,0,0,36.07186314,2.572463704,2.813161793,12.05896707,24.53197099,20.49306418
Isoperla grammatica,31.96285503,59.2675953,35.64791549,38.24556177,40.86294743,34.77232142,44.98294925,114.3991034,37.90502726,52.55481901,46.27606659,46.4137449,47.65739495,38.34381844,86.92363077,62.06696225,84.9380691,83.75353465,65.71825256,76.09234805,167.0268237,87.34508408,79.07500423,83.5779039,83.70120386,91.20888969,38.13504563,33.90412195,47.93972374,11.58878871,44.08783273,69.45652001,39.3842651,32.15724553,19.08042188,19.02927388
Anopheles bellator,15.98142751,20.67474255,6.855368363,22.20710038,27.24196495,53.60732886,22.49147462,49.49961205,51.94392625,43.79568251,66.52184572,88.8491688,37.23233981,60.46525215,57.43168462,93.73377972,63.34364475,56.31703192,24.82689541,86.14228081,60.18984639,63.24988847,66.58947725,47.95453502,12.17472056,7.600740807,129.6591551,46.61816768,119.8493094,144.2160373,2.671989863,74.60144742,84.39485378,89.77231043,64.05570202,111.2480627
