species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Epinephelus fuscoguttatus,742.4099509,642.2953351,863.7764138,645.2396389,468.5617972,670.8160341,487.3152835,431.1966206,481.5342352,867.1545137,630.5114073,449.550272,604.6531985,533.8639336,575.8690539,466.1355532,666.5478982,784.1063675,724.3611838,660.4241529,686.1642488,620.4512869,475.8373062,731.6491915,1013.545487,646.0629686,716.9388579,377.1833567,415.4776058,360.5400933,575.8138154,716.4311416,241.9319142,338.9909632,309.3754119,446.4560411
Epinotia bilunana,71.18999529,95.10381572,93.23300974,92.52958493,121.226744,113.0100446,112.4573731,89.0993017,77.21394443,116.7884867,150.3972164,147.1978767,111.6970194,98.80907059,105.5501231,190.0009048,194.3498191,96.74977278,175.2486735,259.8625471,425.8431632,399.0766772,306.5890515,308.2791537,170.4460879,196.0991128,401.18068,286.7723648,129.1709223,114.600244,166.9993664,237.9528926,85.80143467,107.1908184,87.22478573,84.89983733
Epinotia demarniana,81.35999462,266.0150208,86.37764138,194.9289922,91.26058259,208.6339285,125.9522579,102.2991982,106.6956323,121.1680549,218.3651892,141.8934487,186.161699,140.1024135,125.7288231,164.6674509,165.5572533,151.6227782,124.1344771,239.7626816,121.8844389,105.4164808,88.78596967,153.4545121,60.87360281,145.9342235,321.8597851,77.69694614,114.5226734,83.69680738,124.2475286,241.8115882,47.82375047,56.27517967,59.96704019,60.01540225
Epinotia nisella,46.4914255,6.891580849,8.226442036,18.50591699,4.086294743,0,2.998863283,12.09990517,7.019449493,7.299280418,4.338381243,3.978320991,4.467880777,1.474762248,10.86545385,26.60012668,20.15479606,14.44026459,17.52486735,15.79275148,6.018984639,16.56544698,12.48552698,21.92207315,7.609200351,6.080592646,1.525401825,9.888702235,21.30654389,7.725859143,8.015969588,1.286231852,67.51588302,49.57575352,47.7010547,29.27580598
Epistrophe grossulariae,5.811428187,9.648213189,16.45288407,13.57100579,23.15567021,15.93731398,11.99545313,7.699939653,5.615559595,11.67884867,13.01514373,22.54381895,10.42505515,4.424286743,1.552207692,22.80010858,23.03405264,18.77234397,1.460405612,12.92134212,7.523730798,1.505949725,5.549123104,4.110388716,1.52184007,3.040296323,1.525401825,15.53938923,26.63317986,28.32815019,8.015969588,6.43115926,7.032904482,12.05896707,10.90309822,4.391370896
Episyrphus balteatus,360.3085476,522.3818284,324.9444604,479.9201138,412.715769,417.2678571,269.8976955,306.8975947,276.56631,518.2489097,519.1596221,464.137449,406.5771507,392.2867579,380.2908846,433.202063,433.3281152,374.002853,468.7902016,601.560261,455.9380864,399.0766772,313.5254554,424.7401673,316.5427346,269.0662246,939.6475244,364.469311,352.8896331,383.7176708,275.2149558,684.2753453,291.1622455,313.5331439,325.7300592,289.8304792
Epithemia pelagica,66.83142415,16.53979404,37.01898916,24.67455598,80.36379661,50.70963541,490.3141468,871.1931722,105.2917424,105.109638,160.520106,136.5890207,1404.403858,1784.46232,1971.303769,1546.607365,1763.544655,955.9455161,552.0333215,513.9822755,1361.795275,1243.914473,1360.922441,1001.564717,531.1221845,684.0666727,526.2636297,228.8528232,99.87442447,118.4631735,148.2954374,38.58695556,105.4935672,142.0278344,66.78147657,92.21878882
Equus caballus,2.905714094,1.37831617,1.371073673,0,9.534687734,11.59077381,23.99090627,26.3997931,19.65445858,16.05841692,30.3686687,31.82656793,17.87152311,26.54572046,4.656623077,10.13338159,17.27553948,38.9887144,13.14365051,21.5355702,24.07593855,21.08329616,24.97105397,21.92207315,6.087360281,3.040296323,0,48.03083943,19.97488489,24.46522062,5.343979725,10.28985482,19.69213255,28.13758983,19.08042188,45.37749926
Erannis defoliaria,15.98142751,19.29642638,6.855368363,20.97337258,17.70727722,14.48846726,28.48920119,48.39962068,29.48168787,8.759136502,86.76762486,45.0876379,31.27516544,32.44476945,111.7589539,691.6032936,495.2321317,73.64534943,46.7329796,34.45691232,428.8526555,225.8924588,133.1789545,478.1752207,74.57016344,41.04400036,109.8289314,29.66610671,316.9348403,139.0654646,18.70392904,15.43478222,23.91187524,6.699426151,10.90309822,24.88443508
Erebia aethiops,278.948553,146.101514,508.6683325,175.1893475,125.3130388,234.7131696,202.4232716,89.0993017,158.6395586,289.0515046,160.520106,72.93588484,157.8651208,125.354791,251.4576462,97.53379782,119.4891481,118.4101697,128.5156939,149.3132867,144.4556313,126.4997769,87.39868889,119.2012728,77.61384358,89.68874153,64.06687666,26.84076321,81.23119857,68.2450891,72.14372629,119.6195622,59.07639764,62.97460582,74.95880024,76.11709554
Erebia ligea,62.47285301,56.51096296,21.93717876,81.42603474,121.226744,55.05617558,94.46419342,52.79958619,80.02172423,132.8469036,59.29121032,80.89252682,150.4186528,95.85954609,55.87947693,60.80028955,77.73992765,92.4176934,100.7679873,33.02120764,79.75154646,85.83913435,97.10965432,73.98699689,162.8368875,72.96711175,100.6765205,55.09419817,61.25631367,63.09451633,26.71989863,38.58695556,39.3842651,57.6150649,29.98352009,43.91370896
