genus,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Pseudonaja,18.88714161,5.513264679,1.371073673,37.01183397,36.77665269,10.14192708,14.99431642,8.799931032,7.019449493,13.13870475,2.892254162,9.28274898,10.42505515,17.69714697,9.313246154,11.40005429,59.02475988,11.55221168,40.89135715,18.66416084,118.8749466,106.9224305,76.30044268,124.6817911,184.1426485,109.4506676,157.116388,26.84076321,3.994976979,3.862929571,36.07186314,45.01811482,2.813161793,16.07862276,12.26598549,2.927580598
Pseudopolydora,0,1.37831617,2.742147345,0,1.362098248,13.03962053,1.499431642,8.799931032,1.403889899,0,1.446127081,6.630534985,1.489293592,1.474762248,1.552207692,0,0,0,8.762433674,1.43570468,0,6.023798902,6.93640388,4.110388716,0,1.520148161,4.576205476,679.4951107,87.88949353,825.3792851,0,48.87681038,106.9001481,30.8173603,186.715557,5.855161195
Pseudorca,14.52857047,35.83622042,8.226442036,22.20710038,12.25888423,11.59077381,59.97726567,19.79984482,44.92447676,21.89784125,62.18346448,34.47878192,92.33620272,53.09144091,29.49194616,89.93376162,66.22290133,43.32079378,51.11419643,48.81395913,40.62814631,33.13089396,20.80921164,52.06492374,10.65288049,6.080592646,22.88102738,36.72946545,58.59299569,105.5867416,46.7598226,24.43840519,81.58169199,52.25552398,69.50725113,43.91370896
Pseudostaurosira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33345398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudovirgaria,0,0,0,0,0,0,2.998863283,12.09990517,0,0,0,0,10.42505515,4.424286743,7.761038462,21.53343588,20.15479606,4.332079378,4.381216837,27.27838892,46.64713095,58.73203929,44.39298483,23.29220273,10.65288049,34.96340771,82.37169856,9.888702235,2.663317986,1.28764319,13.35994931,2.572463704,0,0,0,2.927580598
Psylliodes,103.1528503,162.641308,127.5098516,170.2544363,66.74281413,143.4358259,94.46419342,73.69942239,87.04117372,195.6207152,151.8433435,157.8067327,89.35761554,123.8800288,380.2908846,268.5346122,231.7801547,114.0780903,170.8674567,139.263354,206.1502239,150.5949725,158.1500085,164.4155487,622.4325887,129.2125937,224.2340683,122.9024421,155.8041022,209.88584,122.9115337,254.6739067,68.92246392,80.39311381,54.51549108,61.47919255
Pterostichus,34.86856912,100.6170804,83.63549403,72.78994014,46.31134042,63.74925594,106.4596466,123.1990344,68.79060504,138.6863279,180.7658851,108.7407738,215.9475709,156.3247982,473.4233462,182.4008686,131.0061744,69.31327005,127.0552883,113.4206697,73.73256182,61.74393874,49.94210794,84.94803347,383.5036977,162.6558533,85.42250221,46.61816768,109.1960374,128.764319,150.9674272,88.74999779,88.61459647,79.05322858,88.58767301,127.349756
Ptilodon,0,0,0,0,0,0,0,0,0,0,0,1.326106997,0,2.949524495,0,0,5.758513159,0,0,0,0,3.011899451,117.918866,0,0,4.560444484,3.050803651,57.91954166,121.1809684,83.69680738,110.8875793,14.14855037,14.06580896,10.71908184,49.06394197,5.855161195
Ptycholaimellus,0,0,1.371073673,0,239.7292916,283.9739582,221.915883,2058.083871,443.629208,249.6353903,490.2370804,411.0931691,274.030021,679.8653961,727.9854077,183.6675414,240.4179244,47.65287316,316.9080179,631.7100593,246.7783702,191.2556151,349.5947556,153.4545121,28.91496133,424.1213371,919.8173007,156.806564,99.87442447,72.10801867,834.9968321,230.2355015,542.9402259,190.2637027,114.4825313,269.3374149
Pulicaria,34.86856912,38.59285276,106.9437465,48.11538416,81.72589486,50.70963541,47.98181253,45.09964654,50.54003635,102.1899259,88.21375194,37.13099592,67.01821165,72.26335013,71.40155385,64.60030764,87.81732568,59.20508484,106.6096097,53.12107317,54.17086175,124.9938272,90.17325044,117.8311432,39.56784183,83.60814888,167.7942008,14.12671748,30.62815684,6.438215952,49.43181246,19.29347778,71.73562571,20.09827845,6.814436385,125.8859657
