,distance,similarity1,similarity18
499,0.77815125,-0.168177573,-0.213229269
500,0.77815125,-0.173884816,-0.192713543
501,0.77815125,-0.217348713,-0.276896316
502,0.77815125,-0.202408618,-0.274243889
503,0.77815125,-0.255097378,-0.388356157
504,0.77815125,-0.2093141,-0.170718112
505,0.602059991,-0.200511925,-0.200500037
506,0.602059991,-0.17462449,-0.188297354
507,0.602059991,-0.211999361,-0.20383173
508,0.602059991,-0.172963023,-0.191004045
509,0.602059991,-0.192062123,-0.144658061
510,0.602059991,-0.198946343,-0.239577517
511,0.301029996,-0.132650912,-0.169546634
512,0.301029996,-0.142556039,-0.162411562
513,0.301029996,-0.186172327,-0.1563732
514,0.301029996,-0.176386277,-0.15856391
515,0.301029996,-0.187256388,-0.297804002
516,0.301029996,-0.1883221,-0.129031068
517,0,-0.1031046,-0.106483563
518,0,-0.083627276,-0.04281311
519,0,0,0
520,0,-0.128084599,-0.156729075
521,0,-0.121899214,-0.130449005
522,0,-0.12696371,-0.064403632
523,0.301029996,-0.125720425,-0.158478792
524,0.301029996,-0.180140938,-0.257953893
525,0.301029996,-0.161280513,-0.261241007
